search_parameter,base,code,status,type_,xpath,xpath_transformed,target,expression
context-type,ExampleScenario,context-type,draft,token,f:ExampleScenario/f:useContext/f:code,ExampleScenario.useContext.code,None,ExampleScenario.useContext.code
date,ExampleScenario,date,draft,date,f:ExampleScenario/f:date,ExampleScenario.date,None,ExampleScenario.date
identifier,ExampleScenario,identifier,draft,token,f:ExampleScenario/f:identifier,ExampleScenario.identifier,None,ExampleScenario.identifier
jurisdiction,ExampleScenario,jurisdiction,draft,token,f:ExampleScenario/f:jurisdiction,ExampleScenario.jurisdiction,None,ExampleScenario.jurisdiction
name,ExampleScenario,name,draft,string,f:ExampleScenario/f:name,ExampleScenario.name,None,ExampleScenario.name
publisher,ExampleScenario,publisher,draft,string,f:ExampleScenario/f:publisher,ExampleScenario.publisher,None,ExampleScenario.publisher
status,ExampleScenario,status,draft,token,f:ExampleScenario/f:status,ExampleScenario.status,None,ExampleScenario.status
url,ExampleScenario,url,draft,uri,f:ExampleScenario/f:url,ExampleScenario.url,None,ExampleScenario.url
version,ExampleScenario,version,draft,token,f:ExampleScenario/f:version,ExampleScenario.version,None,ExampleScenario.version
context-type-quantity,ExampleScenario,context-type-quantity,draft,composite,None,None,None,ExampleScenario.useContext
context-type-value,ExampleScenario,context-type-value,draft,composite,None,None,None,ExampleScenario.useContext
care-team,ExplanationOfBenefit,care-team,draft,reference,f:ExplanationOfBenefit/f:careTeam/f:provider,ExplanationOfBenefit.careTeam.provider,Practitioner|Organization|PractitionerRole,ExplanationOfBenefit.careTeam.provider
claim,ExplanationOfBenefit,claim,draft,reference,f:ExplanationOfBenefit/f:claim,ExplanationOfBenefit.claim,Claim,ExplanationOfBenefit.claim
coverage,ExplanationOfBenefit,coverage,draft,reference,f:ExplanationOfBenefit/f:insurance/f:coverage,ExplanationOfBenefit.insurance.coverage,Coverage,ExplanationOfBenefit.insurance.coverage
created,ExplanationOfBenefit,created,draft,date,f:ExplanationOfBenefit/f:created,ExplanationOfBenefit.created,None,ExplanationOfBenefit.created
detail-udi,ExplanationOfBenefit,detail-udi,draft,reference,f:ExplanationOfBenefit/f:item/f:detail/f:udi,ExplanationOfBenefit.item.detail.udi,Device,ExplanationOfBenefit.item.detail.udi
disposition,ExplanationOfBenefit,disposition,draft,string,f:ExplanationOfBenefit/f:disposition,ExplanationOfBenefit.disposition,None,ExplanationOfBenefit.disposition
encounter,ExplanationOfBenefit,encounter,draft,reference,f:ExplanationOfBenefit/f:item/f:encounter,ExplanationOfBenefit.item.encounter,Encounter,ExplanationOfBenefit.item.encounter
enterer,ExplanationOfBenefit,enterer,draft,reference,f:ExplanationOfBenefit/f:enterer,ExplanationOfBenefit.enterer,Practitioner|PractitionerRole,ExplanationOfBenefit.enterer
facility,ExplanationOfBenefit,facility,draft,reference,f:ExplanationOfBenefit/f:facility,ExplanationOfBenefit.facility,Location,ExplanationOfBenefit.facility
identifier,ExplanationOfBenefit,identifier,draft,token,f:ExplanationOfBenefit/f:identifier,ExplanationOfBenefit.identifier,None,ExplanationOfBenefit.identifier
item-udi,ExplanationOfBenefit,item-udi,draft,reference,f:ExplanationOfBenefit/f:item/f:udi,ExplanationOfBenefit.item.udi,Device,ExplanationOfBenefit.item.udi
patient,ExplanationOfBenefit,patient,draft,reference,f:ExplanationOfBenefit/f:patient,ExplanationOfBenefit.patient,Patient,ExplanationOfBenefit.patient
payee,ExplanationOfBenefit,payee,draft,reference,f:ExplanationOfBenefit/f:payee/f:party,ExplanationOfBenefit.payee.party,Practitioner|Organization|Patient|PractitionerRole|RelatedPerson,ExplanationOfBenefit.payee.party
procedure-udi,ExplanationOfBenefit,procedure-udi,draft,reference,f:ExplanationOfBenefit/f:procedure/f:udi,ExplanationOfBenefit.procedure.udi,Device,ExplanationOfBenefit.procedure.udi
provider,ExplanationOfBenefit,provider,draft,reference,f:ExplanationOfBenefit/f:provider,ExplanationOfBenefit.provider,Practitioner|Organization|PractitionerRole,ExplanationOfBenefit.provider
status,ExplanationOfBenefit,status,draft,token,f:ExplanationOfBenefit/f:status,ExplanationOfBenefit.status,None,ExplanationOfBenefit.status
subdetail-udi,ExplanationOfBenefit,subdetail-udi,draft,reference,f:ExplanationOfBenefit/f:item/f:detail/f:subDetail/f:udi,ExplanationOfBenefit.item.detail.subDetail.udi,Device,ExplanationOfBenefit.item.detail.subDetail.udi
instantiates-canonical,FamilyMemberHistory,instantiates-canonical,draft,reference,f:FamilyMemberHistory/f:instantiatesCanonical,FamilyMemberHistory.instantiatesCanonical,Questionnaire|Measure|PlanDefinition|OperationDefinition|ActivityDefinition,FamilyMemberHistory.instantiatesCanonical
instantiates-uri,FamilyMemberHistory,instantiates-uri,draft,uri,f:FamilyMemberHistory/f:instantiatesUri,FamilyMemberHistory.instantiatesUri,None,FamilyMemberHistory.instantiatesUri
relationship,FamilyMemberHistory,relationship,draft,token,f:FamilyMemberHistory/f:relationship,FamilyMemberHistory.relationship,None,FamilyMemberHistory.relationship
sex,FamilyMemberHistory,sex,draft,token,f:FamilyMemberHistory/f:sex,FamilyMemberHistory.sex,None,FamilyMemberHistory.sex
status,FamilyMemberHistory,status,draft,token,f:FamilyMemberHistory/f:status,FamilyMemberHistory.status,None,FamilyMemberHistory.status
author,Flag,author,draft,reference,f:Flag/f:author,Flag.author,Practitioner|Organization|Device|Patient|PractitionerRole,Flag.author
identifier,Flag,identifier,draft,token,f:Flag/f:identifier,Flag.identifier,None,Flag.identifier
subject,Flag,subject,draft,reference,f:Flag/f:subject,Flag.subject,Practitioner|Group|Organization|Medication|Patient|PlanDefinition|Procedure|Location,Flag.subject
achievement-status,Goal,achievement-status,draft,token,f:Goal/f:achievementStatus,Goal.achievementStatus,None,Goal.achievementStatus
category,Goal,category,draft,token,f:Goal/f:category,Goal.category,None,Goal.category
lifecycle-status,Goal,lifecycle-status,draft,token,f:Goal/f:lifecycleStatus,Goal.lifecycleStatus,None,Goal.lifecycleStatus
start-date,Goal,start-date,draft,date,f:Goal/f:startDate,Goal.startDate,None,(Goal.start as date)
subject,Goal,subject,draft,reference,f:Goal/f:subject,Goal.subject,Group|Organization|Patient,Goal.subject
target-date,Goal,target-date,draft,date,f:Goal/f:target/f:dueDate,Goal.target.dueDate,None,(Goal.target.due as date)
start,GraphDefinition,start,draft,token,f:GraphDefinition/f:start,GraphDefinition.start,None,GraphDefinition.start
actual,Group,actual,draft,token,f:Group/f:actual,Group.actual,None,Group.actual
characteristic,Group,characteristic,draft,token,f:Group/f:characteristic/f:code,Group.characteristic.code,None,Group.characteristic.code
code,Group,code,draft,token,f:Group/f:code,Group.code,None,Group.code
exclude,Group,exclude,draft,token,f:Group/f:characteristic/f:exclude,Group.characteristic.exclude,None,Group.characteristic.exclude
identifier,Group,identifier,draft,token,f:Group/f:identifier,Group.identifier,None,Group.identifier
managing-entity,Group,managing-entity,draft,reference,f:Group/f:managingEntity,Group.managingEntity,Practitioner|Organization|PractitionerRole|RelatedPerson,Group.managingEntity
member,Group,member,draft,reference,f:Group/f:member/f:entity,Group.member.entity,Practitioner|Group|Device|Medication|Patient|Substance|PractitionerRole,Group.member.entity
type,Group,type,draft,token,f:Group/f:type,Group.type,None,Group.type
value,Group,value,draft,token,f:Group/f:characteristic/f:valueCodeableConcept | f:Group/f:characteristic/f:valueBoolean | f:Group/f:characteristic/f:valueQuantity | f:Group/f:characteristic/f:valueRange | f:Group/f:characteristic/f:valueReference,Group.characteristic.valueCodeableConcept | Group.characteristic.valueBoolean | Group.characteristic.valueQuantity | Group.characteristic.valueRange | Group.characteristic.valueReference,None,(Group.characteristic.value as CodeableConcept) | (Group.characteristic.value as boolean)
characteristic-value,Group,characteristic-value,draft,composite,None,None,None,Group.characteristic
identifier,GuidanceResponse,identifier,draft,token,f:GuidanceResponse/f:identifier,GuidanceResponse.identifier,None,GuidanceResponse.identifier
patient,GuidanceResponse,patient,draft,reference,f:GuidanceResponse/f:subject,GuidanceResponse.subject,Patient,GuidanceResponse.subject.where(resolve() is Patient)
request,GuidanceResponse,request,draft,token,f:GuidanceResponse/f:requestIdentifier,GuidanceResponse.requestIdentifier,None,GuidanceResponse.requestIdentifier
subject,GuidanceResponse,subject,draft,reference,f:GuidanceResponse/f:subject,GuidanceResponse.subject,Group|Patient,GuidanceResponse.subject
active,HealthcareService,active,draft,token,f:HealthcareService/f:active,HealthcareService.active,None,HealthcareService.active
characteristic,HealthcareService,characteristic,draft,token,f:HealthcareService/f:characteristic,HealthcareService.characteristic,None,HealthcareService.characteristic
coverage-area,HealthcareService,coverage-area,draft,reference,f:HealthcareService/f:coverageArea,HealthcareService.coverageArea,Location,HealthcareService.coverageArea
endpoint,HealthcareService,endpoint,draft,reference,f:HealthcareService/f:endpoint,HealthcareService.endpoint,Endpoint,HealthcareService.endpoint
identifier,HealthcareService,identifier,draft,token,f:HealthcareService/f:identifier,HealthcareService.identifier,None,HealthcareService.identifier
location,HealthcareService,location,draft,reference,f:HealthcareService/f:location,HealthcareService.location,Location,HealthcareService.location
name,HealthcareService,name,draft,string,f:HealthcareService/f:name,HealthcareService.name,None,HealthcareService.name
organization,HealthcareService,organization,draft,reference,f:HealthcareService/f:providedBy,HealthcareService.providedBy,Organization,HealthcareService.providedBy
program,HealthcareService,program,draft,token,f:HealthcareService/f:program,HealthcareService.program,None,HealthcareService.program
service-category,HealthcareService,service-category,draft,token,f:HealthcareService/f:category,HealthcareService.category,None,HealthcareService.category
service-type,HealthcareService,service-type,draft,token,f:HealthcareService/f:type,HealthcareService.type,None,HealthcareService.type
specialty,HealthcareService,specialty,draft,token,f:HealthcareService/f:specialty,HealthcareService.specialty,None,HealthcareService.specialty
basedon,ImagingStudy,basedon,draft,reference,f:ImagingStudy/f:basedOn,ImagingStudy.basedOn,Appointment|AppointmentResponse|CarePlan|Task|ServiceRequest,ImagingStudy.basedOn
bodysite,ImagingStudy,bodysite,draft,token,f:ImagingStudy/f:series/f:bodySite,ImagingStudy.series.bodySite,None,ImagingStudy.series.bodySite
dicom-class,ImagingStudy,dicom-class,draft,token,f:ImagingStudy/f:series/f:instance/f:sopClass,ImagingStudy.series.instance.sopClass,None,ImagingStudy.series.instance.sopClass
encounter,ImagingStudy,encounter,draft,reference,f:ImagingStudy/f:encounter,ImagingStudy.encounter,Encounter,ImagingStudy.encounter
endpoint,ImagingStudy,endpoint,draft,reference,f:ImagingStudy/f:endpoint | f:ImagingStudy/f:series/f:endpoint,ImagingStudy.endpoint | ImagingStudy.series.endpoint,Endpoint,ImagingStudy.endpoint | ImagingStudy.series.endpoint
instance,ImagingStudy,instance,draft,token,f:ImagingStudy/f:series/f:instance/f:uid,ImagingStudy.series.instance.uid,None,ImagingStudy.series.instance.uid
interpreter,ImagingStudy,interpreter,draft,reference,f:ImagingStudy/f:interpreter,ImagingStudy.interpreter,Practitioner|PractitionerRole,ImagingStudy.interpreter
modality,ImagingStudy,modality,draft,token,f:ImagingStudy/f:series/f:modality,ImagingStudy.series.modality,None,ImagingStudy.series.modality
performer,ImagingStudy,performer,draft,reference,f:ImagingStudy/f:series/f:performer/f:actor,ImagingStudy.series.performer.actor,Practitioner|Organization|CareTeam|Device|Patient|PractitionerRole|RelatedPerson,ImagingStudy.series.performer.actor
reason,ImagingStudy,reason,draft,token,f:ImagingStudy/f:reasonCode,ImagingStudy.reasonCode,None,ImagingStudy.reasonCode
referrer,ImagingStudy,referrer,draft,reference,f:ImagingStudy/f:referrer,ImagingStudy.referrer,Practitioner|PractitionerRole,ImagingStudy.referrer
series,ImagingStudy,series,draft,token,f:ImagingStudy/f:series/f:uid,ImagingStudy.series.uid,None,ImagingStudy.series.uid
started,ImagingStudy,started,draft,date,f:ImagingStudy/f:started,ImagingStudy.started,None,ImagingStudy.started
status,ImagingStudy,status,draft,token,f:ImagingStudy/f:status,ImagingStudy.status,None,ImagingStudy.status
subject,ImagingStudy,subject,draft,reference,f:ImagingStudy/f:subject,ImagingStudy.subject,Group|Device|Patient,ImagingStudy.subject
location,Immunization,location,draft,reference,f:Immunization/f:location,Immunization.location,Location,Immunization.location
lot-number,Immunization,lot-number,draft,string,f:Immunization/f:lotNumber,Immunization.lotNumber,None,Immunization.lotNumber
manufacturer,Immunization,manufacturer,draft,reference,f:Immunization/f:manufacturer,Immunization.manufacturer,Organization,Immunization.manufacturer
performer,Immunization,performer,draft,reference,f:Immunization/f:performer/f:actor,Immunization.performer.actor,Practitioner|Organization|PractitionerRole,Immunization.performer.actor
reaction,Immunization,reaction,draft,reference,f:Immunization/f:reaction/f:detail,Immunization.reaction.detail,Observation,Immunization.reaction.detail
reaction-date,Immunization,reaction-date,draft,date,f:Immunization/f:reaction/f:date,Immunization.reaction.date,None,Immunization.reaction.date
reason-code,Immunization,reason-code,draft,token,f:Immunization/f:reasonCode,Immunization.reasonCode,None,Immunization.reasonCode
reason-reference,Immunization,reason-reference,draft,reference,f:Immunization/f:reasonReference,Immunization.reasonReference,Condition|Observation|DiagnosticReport,Immunization.reasonReference
series,Immunization,series,draft,string,f:Immunization/f:protocolApplied/f:series,Immunization.protocolApplied.series,None,Immunization.protocolApplied.series
status,Immunization,status,draft,token,f:Immunization/f:status,Immunization.status,None,Immunization.status
status-reason,Immunization,status-reason,draft,token,f:Immunization/f:statusReason,Immunization.statusReason,None,Immunization.statusReason
target-disease,Immunization,target-disease,draft,token,f:Immunization/f:protocolApplied/f:targetDisease,Immunization.protocolApplied.targetDisease,None,Immunization.protocolApplied.targetDisease
vaccine-code,Immunization,vaccine-code,draft,token,f:Immunization/f:vaccineCode,Immunization.vaccineCode,None,Immunization.vaccineCode
date,ImmunizationEvaluation,date,draft,date,f:ImmunizationEvaluation/f:date,ImmunizationEvaluation.date,None,ImmunizationEvaluation.date
dose-status,ImmunizationEvaluation,dose-status,draft,token,f:ImmunizationEvaluation/f:doseStatus,ImmunizationEvaluation.doseStatus,None,ImmunizationEvaluation.doseStatus
identifier,ImmunizationEvaluation,identifier,draft,token,f:ImmunizationEvaluation/f:identifier,ImmunizationEvaluation.identifier,None,ImmunizationEvaluation.identifier
immunization-event,ImmunizationEvaluation,immunization-event,draft,reference,f:ImmunizationEvaluation/f:immunizationEvent,ImmunizationEvaluation.immunizationEvent,Immunization,ImmunizationEvaluation.immunizationEvent
patient,ImmunizationEvaluation,patient,draft,reference,f:ImmunizationEvaluation/f:patient,ImmunizationEvaluation.patient,Patient,ImmunizationEvaluation.patient
status,ImmunizationEvaluation,status,draft,token,f:ImmunizationEvaluation/f:status,ImmunizationEvaluation.status,None,ImmunizationEvaluation.status
target-disease,ImmunizationEvaluation,target-disease,draft,token,f:ImmunizationEvaluation/f:targetDisease,ImmunizationEvaluation.targetDisease,None,ImmunizationEvaluation.targetDisease
date,ImmunizationRecommendation,date,draft,date,f:ImmunizationRecommendation/f:date,ImmunizationRecommendation.date,None,ImmunizationRecommendation.date
identifier,ImmunizationRecommendation,identifier,draft,token,f:ImmunizationRecommendation/f:identifier,ImmunizationRecommendation.identifier,None,ImmunizationRecommendation.identifier
information,ImmunizationRecommendation,information,draft,reference,f:ImmunizationRecommendation/f:recommendation/f:supportingPatientInformation,ImmunizationRecommendation.recommendation.supportingPatientInformation,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,ImmunizationRecommendation.recommendation.supportingPatientInformation
patient,ImmunizationRecommendation,patient,draft,reference,f:ImmunizationRecommendation/f:patient,ImmunizationRecommendation.patient,Patient,ImmunizationRecommendation.patient
status,ImmunizationRecommendation,status,draft,token,f:ImmunizationRecommendation/f:recommendation/f:forecastStatus,ImmunizationRecommendation.recommendation.forecastStatus,None,ImmunizationRecommendation.recommendation.forecastStatus
support,ImmunizationRecommendation,support,draft,reference,f:ImmunizationRecommendation/f:recommendation/f:supportingImmunization,ImmunizationRecommendation.recommendation.supportingImmunization,Immunization|ImmunizationEvaluation,ImmunizationRecommendation.recommendation.supportingImmunization
target-disease,ImmunizationRecommendation,target-disease,draft,token,f:ImmunizationRecommendation/f:recommendation/f:targetDisease,ImmunizationRecommendation.recommendation.targetDisease,None,ImmunizationRecommendation.recommendation.targetDisease
vaccine-type,ImmunizationRecommendation,vaccine-type,draft,token,f:ImmunizationRecommendation/f:recommendation/f:vaccineCode,ImmunizationRecommendation.recommendation.vaccineCode,None,ImmunizationRecommendation.recommendation.vaccineCode
depends-on,ImplementationGuide,depends-on,draft,reference,f:ImplementationGuide/f:dependsOn/f:uri,ImplementationGuide.dependsOn.uri,ImplementationGuide,ImplementationGuide.dependsOn.uri
experimental,ImplementationGuide,experimental,draft,token,f:ImplementationGuide/f:experimental,ImplementationGuide.experimental,None,ImplementationGuide.experimental
global,ImplementationGuide,global,draft,reference,f:ImplementationGuide/f:global/f:profile,ImplementationGuide.global.profile,StructureDefinition,ImplementationGuide.global.profile
resource,ImplementationGuide,resource,draft,reference,f:ImplementationGuide/f:definition/f:resource/f:reference,ImplementationGuide.definition.resource.reference,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,ImplementationGuide.definition.resource.reference
address,InsurancePlan,address,draft,string,f:InsurancePlan/f:contact/f:address,InsurancePlan.contact.address,None,InsurancePlan.contact.address
address-city,InsurancePlan,address-city,draft,string,f:InsurancePlan/f:contact/f:address/f:city,InsurancePlan.contact.address.city,None,InsurancePlan.contact.address.city
address-country,InsurancePlan,address-country,draft,string,f:InsurancePlan/f:contact/f:address/f:country,InsurancePlan.contact.address.country,None,InsurancePlan.contact.address.country
address-postalcode,InsurancePlan,address-postalcode,draft,string,f:InsurancePlan/f:contact/f:address/f:postalCode,InsurancePlan.contact.address.postalCode,None,InsurancePlan.contact.address.postalCode
address-state,InsurancePlan,address-state,draft,string,f:InsurancePlan/f:contact/f:address/f:state,InsurancePlan.contact.address.state,None,InsurancePlan.contact.address.state
address-use,InsurancePlan,address-use,draft,token,f:InsurancePlan/f:contact/f:address/f:use,InsurancePlan.contact.address.use,None,InsurancePlan.contact.address.use
administered-by,InsurancePlan,administered-by,draft,reference,f:InsurancePlan/f:administeredBy,InsurancePlan.administeredBy,Organization,InsurancePlan.administeredBy
endpoint,InsurancePlan,endpoint,draft,reference,f:InsurancePlan/f:endpoint,InsurancePlan.endpoint,Endpoint,InsurancePlan.endpoint
identifier,InsurancePlan,identifier,draft,token,f:InsurancePlan/f:identifier,InsurancePlan.identifier,None,InsurancePlan.identifier
name,InsurancePlan,name,draft,string,f:InsurancePlan/f:name | f:InsurancePlan/f:alias,InsurancePlan.name | InsurancePlan.alias,None,name | alias
owned-by,InsurancePlan,owned-by,draft,reference,f:InsurancePlan/f:ownedBy,InsurancePlan.ownedBy,Organization,InsurancePlan.ownedBy
phonetic,InsurancePlan,phonetic,draft,string,f:InsurancePlan/f:name,InsurancePlan.name,None,InsurancePlan.name
status,InsurancePlan,status,draft,token,f:InsurancePlan/f:status,InsurancePlan.status,None,InsurancePlan.status
type,InsurancePlan,type,draft,token,f:InsurancePlan/f:type,InsurancePlan.type,None,InsurancePlan.type
account,Invoice,account,draft,reference,f:Invoice/f:account,Invoice.account,Account,Invoice.account
date,Invoice,date,draft,date,f:Invoice/f:date,Invoice.date,None,Invoice.date
identifier,Invoice,identifier,draft,token,f:Invoice/f:identifier,Invoice.identifier,None,Invoice.identifier
issuer,Invoice,issuer,draft,reference,f:Invoice/f:issuer,Invoice.issuer,Organization,Invoice.issuer
participant,Invoice,participant,draft,reference,f:Invoice/f:participant/f:actor,Invoice.participant.actor,Practitioner|Organization|Device|Patient|PractitionerRole|RelatedPerson,Invoice.participant.actor
participant-role,Invoice,participant-role,draft,token,f:Invoice/f:participant/f:role,Invoice.participant.role,None,Invoice.participant.role
patient,Invoice,patient,draft,reference,f:Invoice/f:subject,Invoice.subject,Patient,Invoice.subject.where(resolve() is Patient)
recipient,Invoice,recipient,draft,reference,f:Invoice/f:recipient,Invoice.recipient,Organization|Patient|RelatedPerson,Invoice.recipient
status,Invoice,status,draft,token,f:Invoice/f:status,Invoice.status,None,Invoice.status
subject,Invoice,subject,draft,reference,f:Invoice/f:subject,Invoice.subject,Group|Patient,Invoice.subject
totalgross,Invoice,totalgross,draft,quantity,f:Invoice/f:totalGross,Invoice.totalGross,None,Invoice.totalGross
totalnet,Invoice,totalnet,draft,quantity,f:Invoice/f:totalNet,Invoice.totalNet,None,Invoice.totalNet
type,Invoice,type,draft,token,f:Invoice/f:type,Invoice.type,None,Invoice.type
composed-of,Library,composed-of,draft,reference,f:Library/f:relatedArtifact[f:type/@value='composed-of']/f:resource,Library.relatedArtifact[type/@value='composed-of'].resource,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,Library.relatedArtifact.where(type='composed-of').resource
content-type,Library,content-type,draft,token,f:Library/f:content/f:contentType,Library.content.contentType,None,Library.content.contentType
context,Library,context,draft,token,f:Library/f:useContext/f:valueCodeableConcept,Library.useContext.valueCodeableConcept,None,(Library.useContext.value as CodeableConcept)
context-quantity,Library,context-quantity,draft,quantity,f:Library/f:useContext/f:valueQuantity | f:Library/f:useContext/f:valueRange,Library.useContext.valueQuantity | Library.useContext.valueRange,None,(Library.useContext.value as Quantity) | (Library.useContext.value as Range)
context-type,Library,context-type,draft,token,f:Library/f:useContext/f:code,Library.useContext.code,None,Library.useContext.code
